id,type,uuid,created,updated,username,first_name,last_name,email,gender,birth_day,activated,account_id,role_id,status
user_id_sequence,tutor,02379956-457d-47f0-8842-7df8755edcc0,2021-07-14,2021-09-27,tutor,tutor,tutor,tutor@tutor.tutor,MALE,1999-01-01,true,101,2,WORKING
user_id_sequence,tutor,9ec1a68d-498c-426c-bfde-5c389615e760,2021-03-09,2021-02-24,areadwing1,Ase,Readwing,areadwing1@taobao.com,FEMALE,1967-05-01,true,102,2,WORKING
user_id_sequence,tutor,fd80343e-3d9c-4dde-bce4-acbdbff6df61,2021-08-19,2021-04-03,vthonason2,Vitia,Thonason,vthonason2@a8.net,FEMALE,1999-03-28,true,103,2,WORKING
user_id_sequence,tutor,082f8ce3-e5cf-4d33-99e7-4adeab3afd10,2021-05-19,2021-03-06,dhunton3,Daniel,Hunton,dhunton3@comsenz.com,FEMALE,1987-08-26,true,104,2,WORKING
user_id_sequence,tutor,30370807-b90e-40a0-ab21-ce2c61019101,2021-11-15,2021-12-08,eaujouanet4,Earl,Aujouanet,eaujouanet4@oakley.com,FEMALE,1973-11-05,true,105,2,WORKING
user_id_sequence,tutor,4f2237e8-debb-48da-ab35-0bcfa603c0e0,2021-04-27,2021-07-27,afernant5,Addie,Fernant,afernant5@ft.com,FEMALE,1956-04-11,true,106,2,WORKING
user_id_sequence,tutor,b1e53939-89a0-4a8b-b24e-e9f50e915c07,2021-07-14,2021-11-15,smacgiffin6,Siobhan,MacGiffin,smacgiffin6@i2i.jp,FEMALE,1979-01-20,true,107,2,WORKING
user_id_sequence,tutor,d340e785-1836-4b05-aef7-ccaa479f3f02,2022-01-26,2021-07-14,echadbourne7,Ettie,Chadbourne,echadbourne7@telegraph.co.uk,FEMALE,1986-04-16,true,108,2,WORKING
user_id_sequence,tutor,14928f99-1260-4451-a6c5-7363628ba231,2021-07-12,2021-06-18,briddeough8,Babbie,Riddeough,briddeough8@tuttocitta.it,FEMALE,1994-09-19,true,109,2,WORKING
user_id_sequence,tutor,e9a22628-27d8-4b79-b1d8-b82e95c37fea,2021-05-26,2021-06-20,bphizacklea9,Bancroft,Phizacklea,bphizacklea9@slashdot.org,FEMALE,1969-07-30,true,110,2,WORKING
user_id_sequence,tutor,7b6d9c6d-a58a-429d-b50d-25495d7076bf,2021-08-20,2021-05-07,lwaddamsa,Laurent,Waddams,lwaddamsa@unicef.org,FEMALE,1944-05-19,true,111,2,WORKING
user_id_sequence,tutor,796ee879-8f33-43b1-bf45-d7f809fa0b6a,2021-07-14,2022-01-23,jranscombeb,Jayne,Ranscombe,jranscombeb@qq.com,FEMALE,1958-06-19,true,112,2,WORKING
user_id_sequence,tutor,c116cc04-872e-4427-9c08-39eec7f232a9,2021-05-23,2021-04-21,esoallc,Eamon,Soall,esoallc@joomla.org,FEMALE,1942-11-23,true,113,2,WORKING
