id,type,uuid,created,updated,username,first_name,last_name,email,gender,birth_day,activated,account_id,role_id
user_id_sequence,student,c7b37e70-4473-47d0-bdd4-1933c174cc0a,2021-10-28,2021-02-10,student,student,student,student@student.student,FEMALE,1999-01-01,true,1,3
user_id_sequence,student,5889234b-24b8-43bd-8439-864779d8da9f,2021-12-18,2021-09-11,edils1,Eunice,Dils,edils1@dedecms.com,MALE,1982-02-12,true,2,3
user_id_sequence,student,57f4820e-66c7-439e-bfb5-3f378a34921d,2021-11-24,2021-12-05,cellick2,Chick,Ellick,cellick2@bandcamp.com,MALE,1971-03-21,true,3,3
user_id_sequence,student,8ef6293a-d564-4d1f-b3af-fefa7919a301,2021-12-29,2021-03-12,dwaitland3,Dev,Waitland,dwaitland3@japanpost.jp,MALE,1988-12-28,true,4,3
user_id_sequence,student,c1a3babf-4aa2-465b-b41b-6b897724348d,2021-02-19,2021-05-08,gdowning4,Gwennie,Downing,gdowning4@people.com.cn,MALE,1993-08-21,true,5,3
user_id_sequence,student,45ce8df7-a125-4196-bc3a-b3bfc379bd36,2021-08-18,2021-07-01,dheskin5,Duff,Heskin,dheskin5@ucla.edu,MALE,1982-06-21,true,6,3
user_id_sequence,student,2f6d9403-d078-442c-8b4b-bb5a37bb1301,2021-05-26,2021-10-22,mcruft6,Mariam,Cruft,mcruft6@globo.com,MALE,1997-06-29,true,7,3
user_id_sequence,student,9925fe3e-95ef-4024-b331-36b5800577ea,2021-08-25,2021-10-08,dperillio7,Dorian,Perillio,dperillio7@so-net.ne.jp,MALE,1977-05-23,true,8,3
user_id_sequence,student,b622a61e-c6d9-4c62-9e1e-09770787b719,2021-05-25,2022-01-17,nheinz8,Noll,Heinz,nheinz8@comcast.net,MALE,1952-10-29,true,9,3
user_id_sequence,student,6f845779-bd24-4c68-8287-e700e0740c41,2021-06-20,2021-08-18,ecrannis9,Emily,Crannis,ecrannis9@cbsnews.com,MALE,1940-05-26,true,10,3
user_id_sequence,student,881138b5-8acd-4c81-9012-ebbb4a6f414f,2021-06-27,2021-04-14,rlowerya,Rafaelia,Lowery,rlowerya@reuters.com,MALE,1954-10-10,true,11,3
user_id_sequence,student,acd3ad55-d4b1-4168-b1b5-8b2254b64697,2021-12-05,2021-04-19,pgwytherb,Powell,Gwyther,pgwytherb@hostgator.com,MALE,1976-01-09,true,12,3
user_id_sequence,student,58cb87da-a936-4545-8717-fda5a99cfef6,2021-04-29,2021-09-25,vbruckmanc,Vivienne,Bruckman,vbruckmanc@instagram.com,MALE,1986-04-23,true,13,3
